,username,country,province,city,phone_terminal,content
36,鉴股日记11,中国,山东,青岛,微博网页版,指数合理的诱多位置在附近，这个位置一旦到了要谨慎，当然了，不到也有回调预期，总之不能追涨#股票实时分析##股民#
37,将军请上马,中国,北京,北京,HUAWEI Mate 60 Pro,普通人一生要对抗的，可能就是虚荣与虚空过度的追求欲望满足欲望的背后是虚荣，而虚荣得到满足后会容易陷入虚空早起某人说你的股票涨停了，呵呵！昨天就卖了，涨了厘米我就知足了，股票好比庄稼，熟透了就种子掉到地上了万事万物都是同样道理，不可贪求！最近在拼命学习，晚上学到很晚，早全文
38,梧桐树凤栖,中国,辽宁,大连,Redmi Note 13R,如果你买入一家公司的股票完全是基于自己的认知，而不是基于当时的投机氛围，你离赚钱就不远了！
39,Rommeo,中国,安徽,合肥,股票超话,保变电气仓位不重，就不值得一提，关键不可持续明天平价出财经今日看盘股票合肥
40,今天坚持发微博了吗,中国,辽宁,大连,iPhone客户端,周二昨晚也是直接睡了，就没发微博早上七点半多起床收拾好了八点多了给小朋友打视频叫他起床结果这孩子赖床不动啊，陪我一路开到单位，实在不能视频了，也不知道他几点起的上午看看股票，中午吃饭竟然是巧克力馅的麻花天在下雨，不然这个天真的适合去吃一碗热腾腾的米线全文
41,吴书道1978,中国,广东,广州,微博网页版,很多散户股民股市场买股，喜欢看的资料，来判断股票的基本面这是错误的的信息，是过去的，股票已经率先消化和透支利好（利空）股票目前业绩好，不等于以后好，同样，现在亏损的股，不等于未来不好股经常出现这样现象：业绩亏损股，却大涨火热，业绩很好的股，却不大涨股市是炒全文
42,毕盛琪姐姐,中国,江西,南昌,HUAWEI Mate 40 Pro,他说来到毕盛，是他们这么多年来最正确的选择强这应该是最顶的夸赞了吧呲牙#币圈##财经##股票#
43,博股通今-,中国,上海,上海,微博网页版,#微博股票#低空经济今日再度走强，板块日线看即将形成反包个股看航新科技、洪都航空、光启技术、航天海龙等多股股票涨停双一科技、宗申动力、航宇微等多股大涨
44,钱局长本人,中国,上海,上海,,【亿重新定义“自购”！东方财富大手笔加持指数基金，年内家公募自购超次】东方财富证券深夜出手，以亿元重新定义了公募“自购”西藏东财基金月日晚间公告称，东方财富将拟计划不超过亿元增持公司旗下、股票型指数基金以及偏股混合基金亿元增持，尽管是来自股东方，依然创下全文
45,颜尚浅几春秋,中国,广东,梅州,微博网页版,#股票##超话社区#指数突破后有回踩，但是承接力不错，目前算是稳住了，到下午收盘的时候如果还在上方的话就确认突破有效，然后下一步向箱体上轨攻击，“看涨防跌”的行情，看涨是小浪反弹还没走完，防跌是后面肯定有小！
46,A总舵主,中国,广东,韶关,股票推荐超话,到目前为止，沪深两市成交额突破万亿，较昨日此时缩量近亿内资大幅流出超过亿元，机构继续砸盘，散户疯狂承接！不知道这种承接能够坚持多久？财经#股市#股股票推荐#股票推荐#
47,跑得快666,中国,福建,厦门,天天牛股Android,【牛股模拟盘】买入旗天科技，汇金科技笑而不语鲜花
48,万里论股,中国,四川,成都,微博网页版,上午小结：上午延续了昨天的缩量反弹走势活跃板块又回到了军军上，同时，汽车板块表现活跃其实，军军与汽车本来就是重叠的特殊时期，汽车厂直接就变军军厂了，所以，能有联动不奇怪并且，最近的低空经济，就是二者完美结合不过，这二者怎么结合，都少不了导航系统，所以，导航系统个股自全文
49,金牛法院,中国,四川,成都,微博视频号,#法律人#【一方在婚前经营公司所得的财产，离婚时配偶能要求分割吗？】婚前财产未做公证，我的个人财产是我婚前经营公司所得离婚时，老公要分割我的个人财产，包括我名下的股票、基金，以及公司注销后转存在我个人账户的财产，我该如何维权？#今日说法#（来源：今日说法）全文
50,老曹财经,中国,湖南,,微博网页版,微博全网公开福利拿下个点止盈或减仓空，跌至拿下个点跟上的粉丝朋友都是吃肉的，精准的公开福利！全网还有谁敢公开！#黄金##股票#
51,处决生死棋丶,中国,山东,济南,微博网页版,太辰光，竞价红开直接拉升涨停，也是预期的标的白纸黑字圈子记录，圈子玩家共鉴我的标的随时短爆，短爆即为个点，加入圈子后台私信，晚进一天都是损失
52,福哥骑牛,中国,广东,佛山,微博视频号,#上海爷叔#上海爷叔我每个星期都要点评两个股票，让他们来验证嘻嘻福哥骑牛的微博视频
53,大周期趋势,中国,江苏,无锡,微博网页版,这么高还看好？二波估计没戏了吧？东方财富拟亿元自购西藏东财旗下权益基金格隆汇月日｜西藏东财基金今日公告称，基于对中国资本市场长期健康稳定发展的信心，本着与广大投资者风险共担、利益共享的原则，公司全资控股股东东方财富证券拟投资本公司旗下交易型开放式指数基金()、股票型指全文
54,股市小杨哥,中国,广东,,HUAWEI Mate 60 Pro,大盘现在没啥问题，从过去的暴涨，变成了现在的慢涨从指数行情，过渡到了个股行情手里股票只要没有出现放量大跌，就可能多拿几天看看，一句话，牛市多持股！#股#
55,海笑的世界,中国,广东,广州,微博网页版,股票市场上，你唯一能掌握的是“仓位”，所以好好利用仓位的变动，在行情中获取收益
56,l-金金有味,中国,山东,青岛,微博网页版,沪深两市成交额突破万亿，较昨日此时缩量近亿#财经##股票#
57,顺势而为-知行合一,中国,浙江,,Android,#股#股价涨了很高的股票，要小心公布业绩就算业绩很好，股价已经反应了，也会跌，如果不及预期，就会回去
58,摩根士丹利_蔡菜,中国,广东,潮州,HarmonyOS设备,冲击二连板
59,yuzinyourheart_,中国,广东,深圳,iPhone客户端,买的股票高开低走怪难受的😣
60,O牛也是犇,中国,内蒙古,呼和浩特,股票超话,坚定持有自己手中的票就可以了，都会轮动上涨📈的天津股侠@天津股侠深圳陶玥@深圳陶玥@#上证指数#股票
61,A总舵主,中国,广东,韶关,财经超话,午评：大盘延续震荡反弹，军工装备、风电设备强势领涨盘面概述沪指早间延续震荡反弹，创指盘中一度跌超，北证涨超板块方面，风电设备板块延续涨势，天顺风能触及涨停；贸易概念股集体走强，远大控股、汇鸿集团等盘中涨停；军工板块活跃，光启技术、洪都航空等领涨；汽车整车、黑色家电全文
62,旺霏旺霏,中国,广东,佛山,微博网页版,股票每日涨涨跌跌，绝大多数股票都是随波逐流几根大盘跑赢大盘算比较强大多数股票又跑不过大盘大户人家炒股票想赚钱谋生需要真金白银实力，还要懂炒股票读书多，不能当饭吃，许多基金经理其实工作能力挺垃圾的查看图片
63,实战期货的程序员,中国,上海,上海,微博网页版,我还记得月份的时候我微博上经常讲到这只中芯国际今天去看已经翻倍了果然是好股票现在进入调整了
64,张晋通-1,中国,内蒙古,包头,Android客户端,越涨越卖是股市老股民的心态，今天涨，明天拿股票的会不会只剩国庆后进来的新韭菜呢？？？当然还有机构
65,打支多巴胺,中国,河北,石家庄,iPhone客户端,破股票啊，就是挣个认知的钱
66,郑州小散户,中国,河南,,iPhone XR,中华文化博大精深，我们要站在中华文化基础上理解当下股市，我以前发过一篇博文，专门谈了中华文化与股的关联，很多股特质是中华文化基因决定的，文化简单的解释就是：一个民族长期形成的集体习惯和行为我们中华文化中关于势的成语有：顺势而为、势不可挡等股票这段时间最大变化是成交量变全文
67,处决生死棋丶,中国,山东,济南,微博网页版,安硕信息，直接起爆继续起飞昨天公屏已经发帖记录，圈子玩家也是继续锁仓标的昨天卡位日内最低进场，报收就是个点，今天继续起爆个点，我的标的就是随时起爆的，目前短爆个点白纸黑字，神？而且我昨天晚上明确圈子说过了，不管高低开就是锁仓，持续连阳，白纸黑字诸位对比下全文
68,闲置小家,中国,浙江,嘉兴,vivo Y100i,#股票##股#股一到中午就诱多，韭菜千万不能中午买，观察了这么长时间，中午涨就是个骚操作，贼拉恶心🤢
69,逻辑旭哥,中国,广东,东莞,微博网页版,时间还不错赶上了
70,守护天选之女,中国,内蒙古,包头,Redmi 10X 全芯超越,露露亲个蛋🌷昨晚又没开灯今天才明白为什么就想让我满脑子是你了这两天在看股票了没有全力以赴的点么今年娶你回来天天看到你吧我的眼里心里全是你哦
71,顺势交易-3-3,中国,河南,,股市超话,创业板指数还在磨叽，我手中这货就等不及了！反包！股市#股票#
72,百惠金控,中国,广东,深圳,微博 weibo.com,发布了头条文章：《华昊中天()启动招股百惠担任联席账簿管理人及联席牵头经办人》北京华昊中天生物医药股份有限公司（下称“华昊中天”），股票代码，于月日至月日期间招股，百惠金控团队担任联席账簿管理人及联席牵头经办人此次项目全球发行约万股，招股价为每股股全文
73,短线72变,中国,江苏,苏州,微博网页版,周末楼下邻居请我吃饭，吃人嘴短，我在周一的时候告诉他一些股票，让他少买点，今天大涨后我让他卖光，他说不翻倍不卖，搞的以后次都不敢跟他说了
74,财经网,中国,陕西,西安,,#军工板块多股涨停#【#海能达月日来累涨#】截至发稿，盟升电子涨超，金雷股份、安诺其、中无人机涨超，天海防务涨超，中国长城、海能达、光启技术、洪都航空等均涨停值得注意的是，海能达自月日以来已累计大涨约公司近日提示，公司股票价格短期涨幅较大，公司内外部经营全文
75,赢术家,中国,四川,自贡,微博网页版,出门办事，只能手机炒股，一大早在手机上买入$上工申贝$，折腾好久，终于涨停，浮盈个多百分点#财经##股票##股#
76,京津冀老杨,中国,河北,廊坊,微博网页版,不贪，保持买的股票都红，至于红多少，都没所谓了
77,智本国学堂,中国,上海,上海,微博网页版,鸿蒙系统龙头股票主：润和软件：作为（开放鸿蒙）发起单位之一、华为（鸿蒙操作系统）生态共建者以及海思芯片及战略合作伙伴，与华为有全方位的生态合作，在鸿蒙生态建设中具有重要地位公司已推出款面向行业的基于的软件发行版操作系统并落全文
78,烧麦好好七,中国,湖北,宜昌,iPhone客户端,++#赵丽颖电影乔妍的心事#那就陪你一起闯咯以后的每一场我都不会缺席～抱一抱如果赵丽颖是只股票我早已经赚的盆满钵满了还差三张集齐九宫格努力
79,量先行,中国,北京,北京,微博网页版,这么好的行情，各路资金虎视眈眈，根本跌不下去，逢低加满仓就是！股票股#上证指数()##新浪财经#
80,股市独钓者,中国,浙江,杭州,微博网页版,炒股真的不能太理性，我一般选股总是选业绩过得去的，但涨幅往往不如业绩差的选回避大股东要减持的吧，它又涨得很好军工股中我回避已经发布公告被停止参加军队采购的股票，但偏偏它又涨得很好不能理性啊！
81,玉名,中国,北京,北京,皮皮时光机,#学点股票技术#不懂技术的玉名之期货经验分享之基础知识系列：趋势拐点画法之（一）#金融理财#
82,糖果色无,中国,广东,深圳,微博网页版,股票交易三大法则稳：只买真正看得懂的股票，不投机准：长期来看，你看懂的股票，胜率狠：看好了，仓位一次性要买够！
83,用户7532381153,中国,河南,驻马店,OPPO Reno5 5G,竹笋在冒出来前在地下蛰伏了多久？才能在春天到来时在数天之内长至数米高！小孩的身高也是大部分时间都不长的，在积蓄了数月后也是突然一两个月长高了几厘米股票何尝不是也这样，大部分时间都是震荡，盘整，突然某一天时机来临，天时地利人和的时候蓄力突破，数天之内涨百分之几十，甚至翻倍
84,拙言1983,中国,广东,深圳,Android,昨晚现场看到的华为非凡探索绿野传奇版本，真的太太太漂亮了，戴手上高端大气上档次，可惜我没米玩股票，没在前阵子跟着挣一笔，不然闭着眼也要搞一个来戴戴～嘻嘻
85,兔子快跑-1,中国,北京,北京,微博网页版,符合预期，谢谢了！
86,正义南康,中国,江西,赣州,微博视频号,#法律人#【一方在婚前经营公司所得的财产，离婚时配偶能要求分割吗？】婚前财产未做公证，我的个人财产是我婚前经营公司所得离婚时，老公要分割我的个人财产，包括我名下的股票、基金，以及公司注销后转存在我个人账户的财产，我该如何维权？#今日说法#今日说法的微博视频
87,宋谈股经,中国,江西,南昌,微博网页版,上午有点事，现在给大家讲一下盘面情况，分时黄线居上，个股继续修复，分时关键时间点没有放量，再次拉升，有点像昨天上午剧本，下午剧本会一样吗？个股方面看一下看好个股如果涨起来，比较高了，就可以等一下回踩，如果已经回踩到位的，市场在逐步上行的时候，也容易被带动，板块和个股轮着上涨走全文
88,·坤小七Human,中国,江苏,盐城,微博网页版,中芯国际：易方达减持万股减持后持有公司股票
89,超导少年,中国,江苏,苏州,iPhone 14 Pro,简单做个第一小时的时评：大盘整体上延续了昨天的缩量进攻节奏，目前小时线第一次在本轮反弹中站住了，也是自我给出上箱体以来第一次指数站住了上箱体的中轨位目前缩量始终在亿左右，鉴于目前日成交量基数在万亿左右，缩这么点儿勉强能接受，但大的考验越向上越大少于万亿很难形成全文
90,ASL芭乐,中国,福建,厦门,iPhone客户端,这辈子在股票赚不到一毛钱打脸
91,on6looker6,中国,广东,深圳,HUAWEI Mate 60 Pro,真是不懂我妈一个股票账户的资金密码，无非是股票账户转去自己银行卡，自己银行卡转去股票账户，这也要年年改，关键是每年转钱还要我来操作这是咋想的，怕我挪用她的米米咋地？都是她自己的账户改了有何意义，我又转不到自己账户更不用说我比她有钱，她防我是不是太高估自己了黑线
92,吴海波仔,中国,上海,上海,微博网页版,今日早盘主力资金净流入国防军工、汽车整车、交运设备等板块，净流出电子、半导体、文化传媒等板块，其中电子板块净流出超亿元个股方面，赛力斯()涨停，主力资金净买入亿元位居首位，保变电气()、光启技术()、太辰光()获主力资金净流入居前；四川长虹(全文
93,老刘有牛股,中国,广东,佛山,,上午股震荡攀升我被打脸别着急看一段走势你就全明白了！上午盘面军工鸿蒙券商等板块轮动上涨指数差一点就拿下点，难道我被打脸了吗？你先别着急！对这段行情我有把握！①均线乖离率大，必须要修复的，而且跌幅不会小②分钟快顶背离了，下跌是迟早的事③芯片等主流热点都有回踩全文
94,刘彦斌,中国,北京,北京,iPhone 14,公告📣我这把买入另外一家券商，跟上把标的不同！我不习惯把卖出的股票再买回来！
95,鹰眼逻辑8,中国,广东,韶关,A股超话,北交所早盘又卷土重来，巨大的赚钱效应一下又激活了投资者的热情，主板在券商盘中突然拉升的刺激下，指数反弹的力度开始加大，原本在大幅净流出内资机构盘中又开始一波回流，市场反弹的阻力大大减轻很券商在盘中突然急拉的走势是很难持续的，会引发许多资金逢高抛售，很快券商冲高回落，好在中字头，全文
96,遇墨白,中国,浙江,宁波,iPhone 14 Pro Max,前段日子股票特别好，我是从来没脑子干钱生钱的行当，从头到尾就只有一个活期储蓄账户但我突然开窍了一下，给了我老公三万元叫他帮我买股票，然后就这么赚了四千就这四千元好像在冥冥中改变了我顽固的脚踏实地的思想观我飘了！以前我连一二百元的活也接，想着多少是点零花钱，现在想开了，如果这全文
97,嘉嘉的第六感,中国,广东,韶关,财经超话,股：央行互换便利资金已陆续入场昨天月日，中金公司率先使用通过央行互换便利融资回来的资金进场买入股票网络媒体称首批亿元资金已拨付到位，本次央行向市场投放的互换便利资金规模共计亿元这些资金会陆续拨付到已经获批的券商和投资公司手中有一个关于互换便利贷款的细节值得投全文
98,苏苏聊财经,中国,广东,韶关,,股市每天冲高回落，目的就是洗盘，将意志不坚定的投资人洗下车接盘的有基金、上市公司、机构、散户资金从哪里来？你想多了，现在不缺资金，央行降息降准降存量房贷利率，还设立互换便利工具亿，鼓励上市公司贷款回购股票新基金发行的速度和数量都起来了，散户开完户还没有完全进场呢全文
99,从新发芽_,中国,广东,广州,iPhone客户端,润和软件，祝留下来的发财嘻嘻嘻嘻#股票##创业板##股#天津股侠@天津股侠
100,南京宋继林,中国,江苏,南京,vivo X60 蔡司影像,#生活手记##股市#航天电子冲过国庆节后月日高点
101,我才不要下山,中国,安徽,合肥,vivo X80,我爸中午吃饭的时候在看股票我：为什么要一直看着🤔我爸：操作买卖啊挖鼻我：那不看的时候呢？万一睡着的时候夜里忽然跌了那不就亏了吃惊我爸：一天开盘就四个小时，只能在规定时间里操作沉默了一会我：那怎么总是看见新闻说特斯拉苹果公司一夜市值蒸发多少亿疑问那不是夜里没的吗全文
102,作手大仲马,中国,安徽,合肥,6000点iPhone客户端,康波已经开始了，对于执行者的你而言，不会在意窗口有多大，周期有多长，而是执行好上升趋势中的每一天趋势不是我们这样渺小的个体决定的，但执行是我们可以做到的干吧，人生遇见俩次康波，你只要不折腾，银行里怎么也躺个小目标了，足够无忧无虑了#股票#
103,谢保平律师,中国,福建,福州,微博网页版,东方集团股票索赔指南：谢保平律师团队新提交人立案随着年月日的最新消息，谢保平律师金融证券团队向黑龙江省哈尔滨市中级人民法院新提交了名投资者针对东方集团的索赔立案材料此次新提交的人立案进一步突显了谢保平律师团队在保护中小投资者权益方面的坚定决心和不懈努力以下全文
104,best_in_the_world,中国,上海,上海,一加 Ace 2 Pro,#股票#能不能冲上，来一波小牛，提升散户士气酷上海
105,成精的大土豆子,中国,浙江,杭州,iPhone 15 Pro Max,我在高点买了一丢丢股票，赚的时候每天赚两块六五块钱三这样，前几天赔了一下……（图片是我炸的小酥肉
106,我和大嘴,中国,广东,深圳,微博网页版,买点股票，消遣怡情我的主业是做电子元器件石英晶振，有需要的朋友请及时联系我哈笑
107,Sy__UP,中国,湖北,,谢可赢iPhone 12,#金价要涨到什么时候#希望这种问题有一天能问到我的股票上微笑
108,虎哥-波段,中国,湖北,武汉,HarmonyOS设备,四方精创昨天突破历史新高，今天调整，完全在意料之中如果昨天看到它创新高，应该先溜出去观察一下，而不是追进去明天，建议在附近高抛一下，然后附近再接回来被套的朋友不要总想着反弹解套，这真的不在我们掌控中要靠自己主动降成本来解套这只股票正处于主升浪，第一阶段直接刷新了全文
109,西安陈小群,中国,陕西,西安,微博网页版,低空终于反弹了趁着万丰翻红吃点小肉赶紧跑目前低空还是不够强
110,香港保险王舒韵,中国,广东,珠海,Redmi K70E,如果你在股息率的时候，买了万的招商银行股票，那一个月的利息就有多，基本就可以财务自由了所有的投资机会都是跌出来的，而不是涨出来的，持股收息就是股市唯一的被动收入很多人觉得万不算什么，但一个公务员的工资都不一定有，而且这个分红还会随着时间增加而增加，全文
111,福建高院,中国,福建,福州,微博视频号,【一方在婚前经营公司所得的财产，离婚时配偶能要求分割吗？】婚前财产未做公证，我的个人财产是我婚前经营公司所得离婚时，老公要分割我的个人财产，包括我名下的股票、基金，以及公司注销后转存在我个人账户的财产，我该如何维权？今日说法的微博视频
112,处决生死棋丶,中国,山东,济南,微博网页版,中铁装配这里，是我昨天的推演标的，白纸黑字记录我给的位置水下到，竞价开水下直接起爆这个标的点差有个点，所以踏空的就踏空了，如果竞价吃进的那么恭喜，差价在手个点白纸黑字推演记录，踏空也无妨但如果你在圈子里就不一样了，所以圈子外的玩家，一旦出现点位稍微变动和下决定全文
113,叶艾茂,中国,浙江,杭州,微博网页版,今天还是震荡格局，低位板块轮动，高位的震荡调整，我提示节奏还是稳在线的都出来点个赞，这条希望点赞过，谢谢！#股##股市#+#基金股票#（叶艾茂）
114,佩儿06433,中国,河南,郑州,HUAWEI Mate 50 Pro,#湖南爆料#湖南省高级人民法院周小辉法官在裁定书里写到：陈果提交的证据仅能够说明爱尔公司存在医疗纠纷，不能证明爱尔公司存在故意伤害等违法犯罪事实，其发布的爱尔集团早已不是医疗机构了，他们成了一个黑暗势力大网、爱尔眼科集团所有受害人都被爱尔伪造了病历等微全文
115,牛蛙淘金,中国,广东,韶关,iPhone 11,喜报连连蛙哥在月和盘前三剑客中的上海电气今天终于给出的机会选择大于努力恭喜粉丝了吃肉就是这么简单股票就这样复杂的事情简单做简单的事情直接做还没有进入铁粉群的粉丝们赶紧跟上牛蛙淘金的铁粉群
